Team,Event_Id,Time,Type
Kansas City Royals,9708302,13721,
Kansas City Royals,9708313,14088,
Kansas City Royals,9708324,14877,
Kansas City Royals,9708251,14633,
Kansas City Royals,9708277,14884,
Kansas City Royals,9708252,14086,
Kansas City Royals,9708291,13696,
Kansas City Royals,9708318,13563,
St. Louis Cardinals,9713257,13926,
Kansas City Royals,9708329,14938,
St. Louis Cardinals,9713260,15897,
Kansas City Royals,9708296,15529,
St. Louis Cardinals,9713271,15000,
Kansas City Royals,9708315,15056,
St. Louis Cardinals,9713279,17556,
Kansas City Royals,9708256,16992,
St. Louis Cardinals,9713228,15732,
Kansas City Royals,9708270,16462,
Kansas City Royals,9708281,12925,
St. Louis Cardinals,9713294,20036,
Kansas City Royals,9708289,15587,
St. Louis Cardinals,9713302,17223,
Kansas City Royals,9708292,19181,
St. Louis Cardinals,9713258,26446,
Kansas City Royals,9708300,17265,
St. Louis Cardinals,9713261,14414,
Kansas City Royals,9708319,14315,
St. Louis Cardinals,9713269,13480,
Kansas City Royals,9708322,13021,
St. Louis Cardinals,9713272,14249,
Kansas City Royals,9708253,16221,
St. Louis Cardinals,9713231,14921,
Kansas City Royals,9708264,13259,
St. Louis Cardinals,9713233,14141,
Kansas City Royals,9708275,14478,
St. Louis Cardinals,9713244,13951,
Kansas City Royals,9708286,13080,
Kansas City Royals,9708297,14479,
St. Louis Cardinals,9713280,16084,
Kansas City Royals,9708305,14912,
St. Louis Cardinals,9713288,15315,
Kansas City Royals,9708316,13019,
St. Louis Cardinals,9713291,15039,
Kansas City Royals,9708327,16604,
St. Louis Cardinals,9713299,19905,
Kansas City Royals,9708330,16012,
St. Louis Cardinals,9713307,16045,
Kansas City Royals,9708254,14278,
St. Louis Cardinals,9713255,15609,
Kansas City Royals,9708265,14097,
St. Louis Cardinals,9713266,15474,
Kansas City Royals,9708276,14618,
St. Louis Cardinals,9713277,14512,
Kansas City Royals,9708287,14180,
St. Louis Cardinals,9713234,14762,
Kansas City Royals,9708290,15410,
St. Louis Cardinals,9713245,17668,
Kansas City Royals,9708298,13516,
Kansas City Royals,9708306,12175,
St. Louis Cardinals,9713281,16239,
Kansas City Royals,9708317,17719,
St. Louis Cardinals,9713289,17814,
St. Louis Cardinals,9713300,14243,
Kansas City Royals,9708320,17678,
St. Louis Cardinals,9713308,14951,
Kansas City Royals,9708328,14459,
Kansas City Royals,9708331,14643,
St. Louis Cardinals,9713235,16334,
St. Louis Cardinals,9713246,15139,
Kansas City Royals,9708266,17495,
St. Louis Cardinals,9713282,16291,
Kansas City Royals,9708280,16117,
St. Louis Cardinals,9713293,13880,
Kansas City Royals,9708310,19469,
St. Louis Cardinals,9713301,15086,
Kansas City Royals,9708267,16239,
St. Louis Cardinals,9713256,17050,
Kansas City Royals,9708278,15409,
St. Louis Cardinals,9713267,15405,
