Time,Elapsed,Events_Updated,Type,Length,,,,,,
03-22-2017_02:10:77,7.57,"[9711024,9711013,9711025,9711014,9711019,9711011,9711023,9711012,9711026,9711015,9711030,9711027,9711016,9711031,9711028,9711020,9711017,9711032,9711029,9711018]",15+,20,,,,,,
03-22-2017_02:20:63,0.05,[],0-7,0,,,,,,
03-22-2017_02:20:77,8.43,"[9691439,9691453,9691447,9691513,9691440,9691514,9691443,9691454,9691444,9691507,9691510,9691445,9691478,9691511,9691446,9691509,9691427,9691438,9691441,9691452,9691515,9691508,9691512,9691426,9691421,9691424,9691474,9691501,9691502,9691473,9691500,9691499,9691363,9691460,9691461,9691459,9691364,9691365,9691480,9691481,9691482,9691463,9691464,9691469,9691471,9691468,9691375,9691374,9691371,9691372,9691470,9691465,9691485,9691486,9691487,9691490,9691488,9691492,9691483,9691484,9691491,9691489,9691498,9691496,9691497,9691506,9691505,9691503,9691504,9691493,9691494,9691495,9691458,9691456,9691455,9691451,9691449,9691467,9691466]",15+,79,,,,,,
03-22-2017_02:30:77,7.72,"[9707513,9707524,9707514,9707519,9707522,9707560,9707536,9707550,9707558,9707561,9707532,9707543,9707554,9707533,9707544,9707555,9707512,9707534,9707545,9707556,9707562,9707511,9707525,9707523,9707517,9707520,9707528,9707518,9707521,9707515,9707526,9707537,9707540,9707548,9707551,9707559,9707516,9707527,9707530,9707538,9707541,9707549,9707552,9707535,9707557,9707531,9707539,9707542,9707553,9707529,9707430,9707504,9707406,9707420,9707428,9707505,9707414,9707425,9707502,9707415,9707426,9707503,9707407,9707410,9707418,9707421,9707429,9707506,9707408,9707411,9707419,9707422,9707507,9707510,9732040,9707409,9707412,9707423,9707508,9707509,9707417]",15+,81,,,,,,
03-22-2017_02:40:63,0.05,[],0-7,0,,,,,,
03-22-2017_02:40:77,7.6,"[9714864,9714875,9714886,9714897,9714930,9714938,9714841,9714940,9714876,9714890,9714906,9714915,9714931,9714844,9714880,9714891,9714856,9714867,9714908,9714868,9714871,9714912,9714850,9714873,9714925,9714950,9714845,9714881,9714911,9714846,9714857,9714860,9714839,9714842,9714853,9714863,9714904,9714865,9714928,9714899,9714929,9714932,9714901,9714909,9714848,9714851,9714847,9714861,9714923,9714924,9714927,9714852,9714885,9714887,9714926,9714937,9714866,9714888,9714907,9714862,9714884,9714895,9714914,9714936,9714870,9714878,9714934,9714858,9714872,9714883,9714935,9714903,9714838,9714849,9714949,9714854,9714939,9714910,9714902,9714859,9714889]",15+,81,,,,,,
03-22-2017_02:50:79,7.71,"[9710894,9710935,9710957,9710933,9710958,9710893,9710928,9710917,9710896,9710915,9710937,9710940,9710905,9710916,9710927,9710891,9710895,9710914,9710912,9710970,9710931,9710942,9710907,9710890,9710906,9710929,9710913,9710971,9710892,9710944,9710959,9710910,9710908,9710954,9710882,9710883,9710884,9710960,9710961,9710920,9710921,9710965,9710962,9710963,9710964,9710919,9710922,9710923,9710918,9710924,9710925,9710926,9710956,9710950,9710951,9710948,9710952,9710949,9710953,9710955,9710885,9710887,9710886,9710946,9710947,9710945,9710911,9710909,9710900,9710898,9710899,9710901,9710904,9710902,9710903,9710966,9710967,9710968,9710897]",15+,79,,,,,,
03-22-2017_03:00:71,0.06,[],0-7,0,,,,,,
03-22-2017_03:00:77,7.64,"[9714970,9714969,9714952,9714972,9714975,9714976,9715013,9715020,9714991,9714992,9715047,9715048,9715021,9715022,9715043,9715044,9715050,9715011,9715051,9715003,9715023,9715024,9715025,9715026,9715016,9715004,9715019,9715037,9715033,9715034,9715017,9715018,9715014,9715015,9714977,9715035,9714993,9714995,9714990,9714998,9715052,9715042,9715032,9715046,9714984,9714997,9714999,9715031,9714983,9714978,9714985,9714986,9714979,9714980,9714987,9715030,9715008,9714981,9714982,9714971,9714973,9714988,9714989,9714951,9714996,9715005,9715006,9715007,9715012,9715040,9715027,9715000,9715001,9715002,9715028,9715029,9715009,9715010,9714994,9715038,9715039]",15+,81,,,,,,
03-22-2017_03:20:62,0.05,[],0-7,0,,,,,,
